"Year","State","Unemployment","TaxRate","SampleSize","Gender","Age","Race","Education","SmokeRate","LowConf","HighConf"
2011,"AK",0.0758398102296702,35.4,2172,"Overall","Age 20 and Older","All Races","> 12th Grade",16.5,14.3,18.7
2011,"AK",0.0758398102296702,35.4,624,"Overall","65 Years and Older","All Races","All Grades",12.4,9.3,15.5
2011,"AK",0.0758398102296702,35.4,246,"Overall","Age 20 and Older","All Races","< 12th Grade",45.7,36.7,54.7
2011,"AK",0.0758398102296702,35.4,3513,"Overall","All Ages","All Races","All Grades",22.9,20.9,24.9
2011,"AK",0.0758398102296702,35.4,87,"Overall","All Ages","Hispanic","All Grades",22.8,11.9,33.7
2011,"AK",0.0758398102296702,35.4,2534,"Overall","All Ages","White","All Grades",19.3,17.2,21.4
2011,"AK",0.0758398102296702,35.4,513,"Overall","All Ages","American Indian/Alaska Native","All Grades",39.2,33.6,44.8
2011,"AK",0.0758398102296702,35.4,71,"Overall","All Ages","Asian/Pacific Islander","All Grades",14.4,1.5,27.3
2011,"AK",0.0758398102296702,35.4,2085,"Overall","Age 25 and Older","All Races","> 12th Grade",16.7,14.4,19
2011,"AK",0.0758398102296702,35.4,NA,"Overall","All Ages","African American","All Grades",NA,NA,NA
2011,"AK",0.0758398102296702,35.4,924,"Overall","Age 25 and Older","All Races","12th Grade",30.1,26.1,34.1
2011,"AK",0.0758398102296702,35.4,231,"Overall","Age 25 and Older","All Races","< 12th Grade",44.2,34.7,53.7
2011,"AK",0.0758398102296702,35.4,993,"Overall","Age 20 and Older","All Races","12th Grade",29.9,25.9,33.9
2011,"AK",0.0758398102296702,35.4,1551,"Overall","45 to 64 Years","All Races","All Grades",22.9,20.1,25.7
2011,"AK",0.0758398102296702,35.4,231,"Overall","18 to 24 Years","All Races","All Grades",21.8,15.5,28.1
2011,"AK",0.0758398102296702,35.4,1621,"Male","All Ages","All Races","All Grades",22.9,20,25.8
2011,"AK",0.0758398102296702,35.4,1073,"Overall","25 to 44 Years","All Races","All Grades",26.3,22.5,30.1
2011,"AK",0.0758398102296702,35.4,705,"Female","18 to 44 Years","All Races","All Grades",25.3,20.8,29.8
2011,"AK",0.0758398102296702,35.4,1892,"Female","All Ages","All Races","All Grades",23,20.2,25.8
2011,"AL",0.0963638707896591,29.6,1996,"Overall","All Ages","African American","All Grades",20.7,17.9,23.5
2011,"AL",0.0963638707896591,29.6,2610,"Male","All Ages","All Races","All Grades",28,25.6,30.4
2011,"AL",0.0963638707896591,29.6,3704,"Overall","Age 25 and Older","All Races","> 12th Grade",17.5,15.7,19.3
2011,"AL",0.0963638707896591,29.6,2444,"Overall","Age 20 and Older","All Races","12th Grade",26,23.3,28.7
2011,"AL",0.0963638707896591,29.6,3861,"Overall","Age 20 and Older","All Races","> 12th Grade",17.7,16,19.4
2011,"AL",0.0963638707896591,29.6,1153,"Overall","Age 25 and Older","All Races","< 12th Grade",37.5,33.3,41.7
2011,"AL",0.0963638707896591,29.6,2349,"Overall","Age 25 and Older","All Races","12th Grade",24.9,22.2,27.6
2011,"AL",0.0963638707896591,29.6,68,"Overall","All Ages","American Indian/Alaska Native","All Grades",51.6,34.9,68.3
2011,"AL",0.0963638707896591,29.6,NA,"Overall","All Ages","Asian/Pacific Islander","All Grades",NA,NA,NA
2011,"AL",0.0963638707896591,29.6,121,"Overall","All Ages","Hispanic","All Grades",27.4,14.6,40.2
2011,"AL",0.0963638707896591,29.6,1235,"Female","18 to 44 Years","All Races","All Grades",24.3,21.1,27.5
2011,"AL",0.0963638707896591,29.6,5050,"Female","All Ages","All Races","All Grades",21,19.3,22.7
2011,"AL",0.0963638707896591,29.6,382,"Overall","18 to 24 Years","All Races","All Grades",30.3,24.6,36
2011,"AL",0.0963638707896591,29.6,1546,"Overall","25 to 44 Years","All Races","All Grades",28.2,25.3,31.1
2011,"AL",0.0963638707896591,29.6,3074,"Overall","45 to 64 Years","All Races","All Grades",26.2,24.1,28.3
2011,"AL",0.0963638707896591,29.6,2601,"Overall","65 Years and Older","All Races","All Grades",10.2,8.6,11.8
2011,"AL",0.0963638707896591,29.6,1188,"Overall","Age 20 and Older","All Races","< 12th Grade",40.9,36.7,45.1
2011,"AL",0.0963638707896591,29.6,5257,"Overall","All Ages","White","All Grades",24.9,23.1,26.7
2011,"AL",0.0963638707896591,29.6,7660,"Overall","All Ages","All Races","All Grades",24.3,22.8,25.8
2011,"AR",0.0830534942701484,38.9,633,"Overall","Age 20 and Older","All Races","< 12th Grade",40.3,34.1,46.5
2011,"AR",0.0830534942701484,38.9,767,"Overall","25 to 44 Years","All Races","All Grades",32.9,28.3,37.5
2011,"AR",0.0830534942701484,38.9,554,"Female","18 to 44 Years","All Races","All Grades",29.7,24.7,34.7
2011,"AR",0.0830534942701484,38.9,58,"Overall","All Ages","American Indian/Alaska Native","All Grades",33,14,52
2011,"AR",0.0830534942701484,38.9,1857,"Overall","45 to 64 Years","All Races","All Grades",29.7,26.8,32.6
2011,"AR",0.0830534942701484,38.9,3020,"Female","All Ages","All Races","All Grades",25.2,22.6,27.8
2011,"AR",0.0830534942701484,38.9,625,"Overall","Age 25 and Older","All Races","< 12th Grade",38.5,32.3,44.7
2011,"AR",0.0830534942701484,38.9,1655,"Overall","Age 25 and Older","All Races","12th Grade",31,27.2,34.8
2011,"AR",0.0830534942701484,38.9,1689,"Overall","Age 20 and Older","All Races","12th Grade",31.2,27.4,35
2011,"AR",0.0830534942701484,38.9,2283,"Overall","Age 20 and Older","All Races","> 12th Grade",19,16.4,21.6
2011,"AR",0.0830534942701484,38.9,1891,"Overall","65 Years and Older","All Races","All Grades",11.6,9.7,13.5
2011,"AR",0.0830534942701484,38.9,1694,"Male","All Ages","All Races","All Grades",28.9,25.4,32.4
2011,"AR",0.0830534942701484,38.9,3699,"Overall","All Ages","White","All Grades",27.4,25,29.8
2011,"AR",0.0830534942701484,38.9,4714,"Overall","All Ages","All Races","All Grades",27,24.8,29.2
2011,"AR",0.0830534942701484,38.9,146,"Overall","18 to 24 Years","All Races","All Grades",27.1,18.9,35.3
