"Year","Location Description","Data Source","Topic Description","Measure Description","Response","Data Value Type","Data Value","Low Confidence Limit","High Confidence Limit","Sample Size","Gender","Age","Race","Education"
"2018","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.2","8.8","17.6","292","Overall","18 to 24 Years","All Races","All Grades"
"2018","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.9","22.0","27.8","1322","Overall","25 to 44 Years","All Races","All Grades"
"2018","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.2","20.1","24.3","2398","Overall","45 to 64 Years","All Races","All Grades"
"2018","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","9.7","8.2","11.2","2335","Overall","65 Years and Older","All Races","All Grades"
"2018","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","32.3","27.7","36.9","660","Overall","Age 20 and Older","All Races","< 12th Grade"
"2018","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.1","20.5","25.7","1873","Overall","Age 20 and Older","All Races","12th Grade"
"2018","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.3","12.7","15.9","3726","Overall","Age 20 and Older","All Races","> 12th Grade"
"2018","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","32.3","27.6","37.0","645","Overall","Age 25 and Older","All Races","< 12th Grade"
"2018","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.5","20.9","26.1","1793","Overall","Age 25 and Older","All Races","12th Grade"
"2018","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.8","13.2","16.4","3603","Overall","Age 25 and Older","All Races","> 12th Grade"
"2018","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.5","15.9","21.1","1615","Overall","All Ages","African American","All Grades"
"2018","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","50.2","32.9","67.5","68","Overall","All Ages","American Indian/Alaska Native","All Grades"
"2018","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","*","*","*","*","Overall","All Ages","Asian/Pacific Islander","All Grades"
"2018","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","10.6","3.6","17.6","80","Overall","All Ages","Hispanic","All Grades"
"2018","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.2","17.6","20.8","4335","Overall","All Ages","White","All Grades"
"2018","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.2","17.9","20.5","6347","Overall","All Ages","All Races","All Grades"
"2018","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.3","19.2","23.4","2615","Male","All Ages","All Races","All Grades"
"2018","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.2","16.2","22.2","919","Female","18 to 44 Years","All Races","All Grades"
"2018","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.3","15.6","19.0","3731","Female","All Ages","All Races","All Grades"
"2017","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.2","13.0","23.4","324","Overall","18 to 24 Years","All Races","All Grades"
"2017","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","27.9","24.9","30.9","1368","Overall","25 to 44 Years","All Races","All Grades"
"2017","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.7","19.6","23.8","2404","Overall","45 to 64 Years","All Races","All Grades"
"2017","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.8","10.4","35.2","79","Overall","All Ages","Hispanic","All Grades"
"2017","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.5","18.8","22.2","4401","Overall","All Ages","White","All Grades"
"2017","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.9","19.5","22.3","6472","Overall","All Ages","All Races","All Grades"
"2017","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","10.8","9.1","12.5","2376","Overall","65 Years and Older","All Races","All Grades"
"2017","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","36.2","31.7","40.7","759","Overall","Age 20 and Older","All Races","< 12th Grade"
"2017","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","26.9","24.0","29.8","1877","Overall","Age 20 and Older","All Races","12th Grade"
"2017","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.1","12.5","15.7","3730","Overall","Age 20 and Older","All Races","> 12th Grade"
"2017","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","35.7","31.1","40.3","749","Overall","Age 25 and Older","All Races","< 12th Grade"
"2017","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.9","23.0","28.8","1808","Overall","Age 25 and Older","All Races","12th Grade"
"2017","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.4","12.9","15.9","3576","Overall","Age 25 and Older","All Races","> 12th Grade"
"2017","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.7","18.8","24.6","1604","Overall","All Ages","African American","All Grades"
"2017","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","40.2","25.0","55.4","78","Overall","All Ages","American Indian/Alaska Native","All Grades"
"2017","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","*","*","*","*","Overall","All Ages","Asian/Pacific Islander","All Grades"
"2017","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.4","21.1","25.7","2598","Male","All Ages","All Races","All Grades"
"2017","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.9","18.5","25.3","962","Female","18 to 44 Years","All Races","All Grades"
"2017","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.7","16.9","20.5","3871","Female","All Ages","All Races","All Grades"
"2016","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.5","20.1","22.9","6764","Overall","All Ages","All Races","All Grades"
"2016","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.1","22.5","27.7","2085","Overall","Age 20 and Older","All Races","12th Grade"
"2016","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.8","13.3","16.3","3821","Overall","Age 20 and Older","All Races","> 12th Grade"
"2016","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","38.8","33.9","43.7","722","Overall","Age 25 and Older","All Races","< 12th Grade"
"2016","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.7","23.0","28.4","1996","Overall","Age 25 and Older","All Races","12th Grade"
"2016","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.0","13.5","16.5","3605","Overall","Age 25 and Older","All Races","> 12th Grade"
"2016","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.1","15.7","20.5","1781","Overall","All Ages","African American","All Grades"
"2016","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","35.7","19.6","51.8","76","Overall","All Ages","American Indian/Alaska Native","All Grades"
"2016","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","*","*","*","*","Overall","All Ages","Asian/Pacific Islander","All Grades"
"2016","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.7","5.3","22.1","83","Overall","All Ages","Hispanic","All Grades"
"2016","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.8","21.1","24.5","4572","Overall","All Ages","White","All Grades"
"2016","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.5","12.4","20.6","424","Overall","18 to 24 Years","All Races","All Grades"
"2016","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","28.8","25.8","31.8","1580","Overall","25 to 44 Years","All Races","All Grades"
"2016","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.7","21.5","25.9","2569","Overall","45 to 64 Years","All Races","All Grades"
"2016","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","10.0","8.4","11.6","2191","Overall","65 Years and Older","All Races","All Grades"
"2016","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","39.8","34.9","44.7","738","Overall","Age 20 and Older","All Races","< 12th Grade"
"2016","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.3","21.1","25.5","2695","Male","All Ages","All Races","All Grades"
"2016","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.3","21.1","27.5","1201","Female","18 to 44 Years","All Races","All Grades"
"2016","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.0","18.2","21.8","4069","Female","All Ages","All Races","All Grades"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.2","9.3","31.1","93","Overall","All Ages","Hispanic","All Grades"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.9","20.3","23.5","5252","Overall","All Ages","White","All Grades"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.4","20.0","22.8","7653","Overall","All Ages","All Races","All Grades"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.5","20.6","24.4","3042","Overall","45 to 64 Years","All Races","All Grades"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","10.2","8.6","11.8","2544","Overall","65 Years and Older","All Races","All Grades"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","34.4","29.9","38.9","890","Overall","Age 20 and Older","All Races","< 12th Grade"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.0","22.4","27.6","2357","Overall","Age 20 and Older","All Races","12th Grade"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.7","14.1","17.3","4268","Overall","Age 20 and Older","All Races","> 12th Grade"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","33.0","28.6","37.4","870","Overall","Age 25 and Older","All Races","< 12th Grade"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.3","22.7","27.9","2238","Overall","Age 25 and Older","All Races","12th Grade"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.7","14.1","17.3","4059","Overall","Age 25 and Older","All Races","> 12th Grade"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.0","17.2","22.8","1944","Overall","All Ages","African American","All Grades"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","40.6","26.7","54.5","110","Overall","All Ages","American Indian/Alaska Native","All Grades"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","*","*","*","*","Overall","All Ages","Asian/Pacific Islander","All Grades"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.1","16.1","26.1","468","Overall","18 to 24 Years","All Races","All Grades"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","27.4","24.5","30.3","1599","Overall","25 to 44 Years","All Races","All Grades"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.8","21.6","26.0","2932","Male","All Ages","All Races","All Grades"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.9","18.8","25.0","1208","Female","18 to 44 Years","All Races","All Grades"
"2015","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.2","17.5","20.9","4721","Female","All Ages","All Races","All Grades"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.9","20.3","23.5","5862","Overall","All Ages","White","All Grades"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.1","19.8","22.4","8368","Overall","All Ages","All Races","All Grades"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","9.4","8.0","10.8","3033","Overall","65 Years and Older","All Races","All Grades"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","37.6","33.0","42.2","999","Overall","Age 20 and Older","All Races","< 12th Grade"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.3","21.9","26.7","2612","Overall","Age 20 and Older","All Races","12th Grade"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.7","13.3","16.1","4648","Overall","Age 20 and Older","All Races","> 12th Grade"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","35.2","30.8","39.6","973","Overall","Age 25 and Older","All Races","< 12th Grade"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.9","21.4","26.4","2510","Overall","Age 25 and Older","All Races","12th Grade"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.2","12.8","15.6","4460","Overall","Age 25 and Older","All Races","> 12th Grade"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.2","17.5","22.9","2072","Overall","All Ages","African American","All Grades"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","29.9","16.7","43.1","94","Overall","All Ages","American Indian/Alaska Native","All Grades"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","*","*","*","*","Overall","All Ages","Asian/Pacific Islander","All Grades"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.6","7.6","29.6","71","Overall","All Ages","Hispanic","All Grades"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.5","18.3","28.7","414","Overall","18 to 24 Years","All Races","All Grades"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.4","22.6","28.2","1590","Overall","25 to 44 Years","All Races","All Grades"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.0","21.1","24.9","3331","Overall","45 to 64 Years","All Races","All Grades"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.5","21.3","25.7","2997","Male","All Ages","All Races","All Grades"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.0","17.4","20.6","5371","Female","All Ages","All Races","All Grades"
"2014","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.5","18.4","24.6","1190","Female","18 to 44 Years","All Races","All Grades"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.1","12.0","22.2","278","Overall","18 to 24 Years","All Races","All Grades"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","*","*","*","*","Overall","All Ages","Asian/Pacific Islander","All Grades"
