"Year","State","Force","Unemployed","Employed","Ratio"
"2011","AK",365916,27751,338165,0.0758398102296702
"2011","AL",2202672,212258,1990414,0.0963638707896591
"2011","AR",1362688,113176,1249512,0.0830534942701484
"2011","AZ",3037016,288547,2748469,0.0950100361670798
"2011","CA",18415107,2156970,16258137,0.117130462505594
"2011","CO",2736084,228818,2507266,0.0836297423617111
"2011","CT",1914774,168809,1745965,0.0881613182547914
"2011","DC",350778,35607,315171,0.101508646494364
"2011","DE",443347,33261,410086,0.0750224993064124
"2011","FL",9300549,928905,8371644,0.0998763621373319
"2011","GA",4748773,485459,4263314,0.102228301921359
"2011","HI",660255,44935,615320,0.0680570385684319
"2011","IA",1662387,92205,1570182,0.0554654241160452
"2011","ID",765179,63713,701466,0.0832654842853764
"2011","IL",6586904,638534,5948370,0.0969399280754661
"2011","IN",3181992,290051,2891941,0.091153906106615
"2011","KS",1491101,97012,1394089,0.0650606498151366
"2011","KY",2056423,193488,1862935,0.0940895914896887
"2011","LA",2073219,162197,1911022,0.0782343785195872
"2011","MA",3469312,251555,3217757,0.0725086126586482
"2011","MD",3096565,224479,2872086,0.0724929074635927
"2011","ME",699280,55195,644085,0.0789311863631163
"2011","MI",4685170,486816,4198354,0.103905728073901
"2011","MN",2946287,191018,2755269,0.0648334666649922
"2011","MO",3047794,258567,2789227,0.0848374266764749
"2011","MS",1342814,134065,1208749,0.0998388458863253
"2011","MT",501230,34824,466406,0.0694770863675359
"2011","NC",4633079,475536,4157543,0.102639303150238
"2011","ND",388637,13484,375153,0.0346956157030854
"2011","NE",1003266,44203,959063,0.044059102969701
"2011","NH",736302,39770,696532,0.0540131630771069
"2011","NJ",4565273,426808,4138465,0.0934901373915645
"2011","NM",930355,70050,860305,0.0752938394483826
"2011","NV",1373117,178852,1194265,0.130252556774113
"2011","NY",9517370,789312,8728058,0.0829338357130174
"2011","OH",5771477,510235,5261242,0.0884063126301985
"2011","OK",1772673,104251,1668422,0.0588100569027677
"2011","OR",1993892,189569,1804323,0.09507485861822
"2011","PA",6395505,506760,5888745,0.0792369015425678
"2011","PR",1220246,194686,1025560,0.159546517669388
"2011","RI",560057,61809,498248,0.110361981012647
"2011","SC",2175527,229628,1945899,0.105550517185031
"2011","SD",440936,20881,420055,0.0473560788867319
"2011","TN",3125315,280647,2844668,0.089797988362773
"2011","TX",12504512,969412,11535100,0.0775249765844521
"2011","UT",1350447,91109,1259338,0.0674658094690129
"2011","VA",4211815,277482,3934333,0.0658818110482061
"2011","VT",358107,19645,338462,0.0548579055980475
